GEOID,Y,X,Description
1,4.549647,-74.159542,Mirador-Paraiso station
2,4.550401,-74.150533,Manitas station
3,4.555669,-74.147564,Juan Pablo II station
4,4.569755,-74.139307,Portal Tunal
5,4.597581,-74.072726,Historic District
6,4.659224,-74.061834,Financial District
7,4.755922,-74.045701,Portal Norte
8,4.575976211,-74.12012724,Calle 40 sur station
9,4.571447,-74.128239,Hospital El Tunal
10,4.696172,-74.138572,Airport
11,4.693246,-74.056159,Calle 106 station
12,4.569166,-74.134377,Parque El Tunal
13,4.632203,-74.157224,Abastos
14,4.615257,-74.069262,Museo Nacional
