origin,destination,walk_distance,travel_time,boardings
1,1,36.0,26,0
1,2,395.3428345853744,838,1
1,3,714.1366014976093,1049,1
1,4,355.97734586019754,1096,1
1,5,883.7811503723856,3975,2
1,6,374.3469172894605,3647,2
1,7,487.9914210504238,5060,2
1,8,402.30962405532244,2106,2
1,9,916.1697669122348,2021,1
1,10,1285.9683383414977,5015,2
1,11,923.7352180390719,4638,2
1,12,919.6858195431342,1530,1
1,13,657.7843984927106,4133,1
1,14,301.69414285368566,3905,2
2,1,436.6838345853745,987,1
2,2,54.0,40,0
2,3,871.6068270602212,700,0
2,4,625.8770451057463,910,1
2,5,1131.8402030032853,3341,2
2,6,644.2466165350091,3176,2
2,7,757.8911202959724,4589,2
2,8,672.2093233008709,1635,2
2,9,518.6722180422985,1409,1
2,10,1042.4883909723976,5105,2
2,11,1193.63491728462,4167,2
2,12,1189.5855187886832,1344,1
2,13,1674.3255714131294,3038,1
2,14,579.0791954845853,3569,2
3,1,737.8553909723976,1131,1
3,2,879.1494812000235,695,0
3,3,52.0,38,0
3,4,767.3031052569594,923,1
3,5,1271.3033909723974,3399,2
3,6,785.6726766862221,3189,2
3,7,899.3171804471853,4602,2
3,8,813.6353834520839,1648,2
3,9,658.1354060114107,1441,1
3,10,1181.9515789415095,5163,2
3,11,1335.0609774358331,4180,2
3,12,1331.0115789398963,1357,1
3,13,937.1642932244578,2440,1
3,14,1635.8576090114695,3556,1
4,1,426.49577443416143,1331,1
4,2,714.3037819512481,1056,1
4,3,828.6387443561348,1088,1
4,4,20.0,14,0
4,5,1446.6585112715961,2147,1
4,6,384.4321578910856,2148,1
4,7,498.07666165204887,3561,1
4,8,412.3948646569475,607,1
4,9,654.1716691675223,759,1
4,10,1456.4050676634592,3965,2
4,11,933.820458640697,3139,1
4,12,666.2241428536856,518,0
4,13,815.4706541301223,2154,1
4,14,590.9295488650962,2592,1
